Ranking;logo;University;Country;Score
185;www.https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-delhi-iitd_282_small.jpg;Indian Institute of Technology Delhi (IITD);Asia;45.9
186;www.https://www.topuniversities.com/sites/default/files/indian-institute-of-science-iisc-bangalore_22878_small.jpg;Indian Institute of Science;Asia;45.7
186;www.https://www.topuniversities.com/sites/default/files/university-of-minnesota_408_small.jpg;University of Minnesota Twin Cities;North America;45.7
188;www.https://www.topuniversities.com/sites/default/files/universit-catholique-de-louvain-uclouvain_592560cf2aeae70239af4aed_small.jpg;Université catholique de Louvain (UCLouvain);Europe;45.6
189;www.https://www.topuniversities.com/sites/default/files/university-of-liverpool_350_small.jpg;University of Liverpool;Europe;45.5
189;www.https://www.topuniversities.com/sites/default/files/university-of-twente_635_small.jpg;University of Twente;Europe;45.5
191;www.https://www.topuniversities.com/sites/default/files/dartmouth-college_592560cf2aeae70239af4b1c_small.jpg;Dartmouth College;North America;45.1
191;www.https://www.topuniversities.com/sites/default/files/universiti-teknologi-malaysia_387_small.jpg;Universiti Teknologi Malaysia ;Asia;45.1
193;www.https://www.topuniversities.com/sites/default/files/university-of-wollongong_680_small.jpg;University of Wollongong;Oceania;44.9
194;www.https://www.topuniversities.com/sites/default/files/curtin-university_150_small.jpg;Curtin University;Oceania;44.8
194;www.https://www.topuniversities.com/sites/default/files/technische-universitt-dresden_598_small.jpg;Technische Universität Dresden;Europe;44.8
194;www.https://www.topuniversities.com/sites/default/files/university-of-otago_474_small.jpg;University of Otago;Oceania;44.8
197;www.https://www.topuniversities.com/sites/default/files/the-university-of-newcastle-australia-uon_449_small.jpg;The University of Newcastle, Australia (UON);Oceania;44.6
198;www.https://www.topuniversities.com/sites/default/files/the-hebrew-university-of-jerusalem_256_small.jpg;The Hebrew University of Jerusalem;Asia;44.5
199;www.https://www.topuniversities.com/sites/default/files/university-of-bergen_53_small.jpg;University of Bergen;Europe;44.2
200;www.https://www.topuniversities.com/sites/default/files/macquarie-university_378_small.jpg;Macquarie University;Oceania;44.1
201;www.https://www.topuniversities.com/sites/default/files/keio-university_592560cf2aeae70239af4bbe_small.jpg;Keio University;Asia;43.9
202;www.https://www.topuniversities.com/sites/default/files/university-of-reading_517_small.jpg;University of Reading;Europe;43.5
203;www.https://www.topuniversities.com/sites/default/files/waseda-university_592560cf2aeae70239af4d1c_small.jpg;Waseda University;Asia;43.3
204;www.https://www.topuniversities.com/sites/default/files/university-of-gttingen_234_small.jpg;University of Göttingen;Europe;43.2
205;www.https://www.topuniversities.com/sites/default/files/university-of-aberdeen_592560cf2aeae70239af4a8b_small.jpg;University of Aberdeen;Europe;43.1
206;www.https://www.topuniversities.com/sites/default/files/rmit-university_592560cf2aeae70239af4c95_small.jpg;RMIT University;Oceania;42.8
207;www.https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-madrid_379_small.jpg;Universidad Autónoma de Madrid;Europe;42.7
207;www.https://www.topuniversities.com/sites/default/files/universite-libre-de-bruxelles_75_small.jpg;Universite libre de Bruxelles;Europe;42.7
209;www.https://www.topuniversities.com/sites/default/files/universitat-autnoma-de-barcelona_592560cf2aeae70239af4ab0_small.jpg;Universitat Autònoma de Barcelona;Europe;42.6
209;www.https://www.topuniversities.com/sites/default/files/vrije-universiteit-amsterdam_658_small.jpg;Vrije Universiteit Amsterdam;Europe;42.6
211;www.https://www.topuniversities.com/sites/default/files/tongji-university_617_small.jpg;Tongji University;Asia;42.5
212;www.https://www.topuniversities.com/sites/default/files/ulsan-national-institute-of-science-and-technology-unist_5ba37add9ed419611e043517_small.jpg;Ulsan National Institute of Science and Technology (UNIST);Asia;42.4
213;www.https://www.topuniversities.com/sites/default/files/queensland-university-of-technology-qut_592560cf2aeae70239af4c88_small.jpg;Queensland University of Technology (QUT);Oceania;42.1
214;www.https://www.topuniversities.com/sites/default/files/universitt-hamburg_592560cf2aeae70239af4b79_small.jpg;Universität Hamburg;Europe;42
215;www.https://www.topuniversities.com/sites/default/files/chulalongkorn-university_592560cf2aeae70239af4b01_small.jpg;Chulalongkorn University;Asia;41.9
216;www.https://www.topuniversities.com/sites/default/files/arizona-state-university_592560cf2aeae70239af4a9c_small.jpg;Arizona State University;North America;41.8
216;www.https://www.topuniversities.com/sites/default/files/queens-university-belfast_592560cf2aeae70239af4c86_small.jpg;Queen's University Belfast;Europe;41.8
218;www.https://www.topuniversities.com/sites/default/files/vanderbilt-university_649_small.jpg;Vanderbilt University;North America;41.7
